"fipscodes","name","totpop","number_disasters","incl_1372","incl_1396","incl_1501","incl_1552","incl_1613","incl_1798","incl_1919","incl_1946","incl_4004","incl_4017","incl_4040","incl_4336","incl_4339","pa_1372","pa_1396","pa_1501","pa_1552","pa_1613","pa_1798","pa_1919","pa_1946","pa_4004","pa_4017","pa_4040","pa_4336","pa_4339","hmgp_1372","hmgp_1396","hmgp_1501","hmgp_1552","hmgp_1613","hmgp_1798","hmgp_1919","hmgp_1946","hmgp_4004","hmgp_4017","hmgp_4040","hmgp_4336","hmgp_4339","pdm_tot","es_1372","es_1396","es_1501","es_1552","es_1613","es_1798","es_1919","es_1946","es_4004","es_4017","es_4040","es_4336","es_4339","as_1372","as_1396","as_1501","as_1552","as_1613","as_1798","as_1919","as_1946","as_4004","as_4017","as_4040","as_4336","as_4339","r_1372","r_1396","r_1501","r_1552","r_1613","r_1798","r_1919","r_1946","r_4004","r_4017","r_4040","r_4336","r_4339","tot_percap_mil","tot_percap_dollar","maria_percap_mil","maria_percap_dollar"
"1","Adjuntas",18760,8,1,0,0,1,1,1,0,1,0,1,0,1,1,0.462,NA,NA,0.217,1.55,0.194,NA,0.727,NA,0.326,NA,0,1.025,1e-06,NA,0.059466,0,0,0,NA,0,NA,0.03,NA,0,0,0.3855,9.37960022366628e-06,NA,NA,6.41619743949725e-06,1.29621043732017e-05,1.92358146098878e-05,NA,2.33144978822186e-05,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,2.46269189765458e-05,0,3.16982942430704e-06,1.15671641791045e-05,8.26226012793177e-05,1.03411513859275e-05,0,3.87526652452026e-05,0,1.89765458422175e-05,0,0,5.4637526652452e-05,2.62558300879477,NA,NA,1.80280676961382,6.37416571418253,0.537598827793435,NA,1.66217027023165,NA,1.0440599951082,NA,0,0.394751438078584,0.00021060591684435,210.60591684435,5.4637526652452e-05,54.637526652452
"3","Aguada",40083,3,0,0,0,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,0.84,NA,NA,NA,NA,NA,0.284,NA,NA,12.349,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,0,2.09565152308959e-05,0,0,0,0,0,7.08529800663623e-06,0,0,0.000308085722126587,NA,NA,NA,3.26618926997015,NA,NA,NA,NA,NA,0.389822060540198,NA,NA,2.22589288557211,2.80418132375321e-05,28.0418132375321,0.000308085722126587,308.085722126587
"5","Aguadilla",56893,2,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,7.522,NA,0.037305,NA,0.0144,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.000138409949608785,0,6.55704568224562e-07,0,3.40990983073489e-07,0,0,0,0,0,0,0,0,0.000132213101787566,NA,NA,NA,0.0531453382301477,NA,NA,NA,NA,NA,NA,NA,NA,0.955228306644618,9.96695551298051e-07,0.996695551298051,0.000132213101787566,132.213101787566
"7","Aguas Buenas",27323,5,0,1,0,1,0,0,0,0,0,1,0,1,1,NA,0.458,NA,0.317,NA,NA,NA,NA,NA,0.456,NA,0.157,1.369,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,1.67624345789262e-05,0,1.16019470775537e-05,0,0,0,0,0,1.66892361746514e-05,0,5.74607473557076e-06,5.01043077260916e-05,NA,2.8997855066333,NA,1.80822787748608,NA,NA,NA,NA,NA,0.918215779823394,NA,1.65367534218919,0.361999320624791,5.07996925667021e-05,50.799692566702,5.01043077260916e-05,50.1043077260916
"9","Aibonito",24438,6,0,0,1,1,1,0,0,1,0,1,0,0,1,NA,NA,0,0.213,0.114,NA,NA,0.271,NA,0.144,NA,NA,6.302,NA,NA,0,0,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,1.29621043732017e-05,NA,NA,2.33144978822186e-05,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,0,8.71593420083476e-06,4.66486619199607e-06,0,0,1.108928717571e-05,0,5.89246255831083e-06,0,0,0.000257877076683853,NA,NA,0,1.35842674466042,0.359884942883223,NA,NA,0.475639116558778,NA,0.32419411208749,NA,NA,1.86313973390455,3.03625501268516e-05,30.3625501268516,0.000257877076683853,257.877076683853
"11","Anasco",28250,6,1,0,0,1,0,0,0,1,1,1,0,0,1,0.057,NA,NA,0.139,NA,NA,NA,0.188,0.444,0.314,NA,NA,7.878,0,NA,NA,0,0.078364,NA,NA,0,0,0.021825,NA,NA,0,NA,9.37960022366628e-06,NA,NA,6.41619743949725e-06,NA,NA,NA,2.33144978822186e-05,1.10517119280744e-05,1.81757235514525e-05,NA,NA,0.000138409949608785,2.01769911504425e-06,0,0,4.92035398230089e-06,2.77394690265487e-06,0,0,6.65486725663717e-06,1.5716814159292e-05,1.1887610619469e-05,0,0,0.000278867256637168,0.215115683710406,NA,NA,0.766864490798218,NA,NA,NA,0.285439012680289,1.42211580084412,0.654037820602692,NA,NA,2.01479198154024,4.39712920353982e-05,43.9712920353982,0.000278867256637168,278.867256637168
"13","Arecibo",91096,4,0,0,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,0.045,NA,NA,0.039,NA,NA,NA,NA,NA,3.083,NA,NA,NA,0.562929,NA,NA,0,NA,NA,0.0225,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,0,6.67349828752086e-06,0,0,4.28119785720559e-07,0,0,2.46992184069553e-07,0,0,3.38434179327303e-05,NA,NA,NA,1.04010176595248,NA,NA,0.0442866253415139,NA,NA,0.013589125262076,NA,NA,0.24451578826803,7.34861025731097e-06,7.34861025731097,3.43295712802046e-05,34.3295712802046
"15","Arroyo",18778,5,0,0,1,1,0,1,0,0,0,1,0,0,1,NA,NA,0,0.195,NA,1.157,NA,NA,NA,0.382,NA,NA,4.34,NA,NA,0,0,NA,0,NA,NA,NA,0.021,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,1.92358146098878e-05,NA,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,0,1.03844924912131e-05,0,6.16146554478645e-05,0,0,0,2.14612844818405e-05,0,0,0.000231121525189051,NA,NA,0,1.61848081969666,NA,3.20312171319185,NA,NA,NA,1.18076644492788,NA,NA,1.66983317198161,9.34604324209181e-05,93.4604324209181,0.000231121525189051,231.121525189051
"17","Barceloneta",24699,2,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.248,NA,NA,NA,NA,NA,NA,NA,NA,3.072,NA,NA,NA,0,NA,0.021054,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.000138409949608785,0,0,0,1.00408923438196e-05,0,8.52423175027329e-07,0,0,0,0,0,0,0.000124377505162152,NA,NA,NA,1.56492882871858,NA,NA,NA,NA,NA,NA,NA,NA,0.898616793906111,1.08933155188469e-05,10.8933155188469,0.000124377505162152,124.377505162152
"19","Barranquitas",29548,6,0,1,0,1,0,0,1,0,0,1,0,1,1,NA,0.127,NA,0,NA,NA,0.767,NA,NA,1.557,NA,0,2.653,NA,0,NA,0,NA,0.014625,0,NA,NA,0,NA,0,0,NA,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,4.29809124136997e-06,0,0,0,4.94957357519968e-07,2.5957763638825e-05,0,0,5.26939217544335e-05,0,0,8.97861107350751e-05,NA,0.743540124152454,NA,0,NA,NA,2.6851871633108,NA,NA,2.89913750092345,NA,0,0.648696939698738,8.34447339921484e-05,83.4447339921484,0.000180661539302518,180.661539302518
"21","Bayamon",192974,5,0,1,0,1,0,0,0,0,0,1,0,1,1,NA,0.418,NA,0.262,NA,NA,NA,NA,NA,0.306,NA,0,23.229,NA,0,NA,0.845035,NA,0.075,NA,NA,NA,0.033995,NA,0,0,2.21023725,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,2.16609491434079e-06,0,5.7367054629121e-06,0,3.88653393721434e-07,0,0,0,1.76186947464425e-06,0,0,0.000120373729103403,NA,0.374719472223581,NA,0.894097402239793,NA,NA,NA,NA,NA,0.0969353142754778,NA,0,0.869689855705017,2.15068726875123e-05,21.5068726875123,0.000120373729103403,120.373729103403
"23","Cabo Rojo",50096,5,1,0,1,1,0,1,0,0,0,0,0,0,1,0.121,NA,0,0.015,NA,1.227,NA,NA,NA,NA,NA,NA,8.826,0,NA,0,0.018375,NA,0,NA,NA,NA,NA,NA,NA,0,NA,9.37960022366628e-06,NA,5.54860475405057e-06,6.41619743949725e-06,NA,1.92358146098878e-05,NA,NA,NA,NA,NA,NA,0.000138409949608785,2.41536250399233e-06,0,0,6.66220855956563e-07,0,2.44929734908975e-05,0,0,0,0,0,0,0.000176181731076333,0.257512308242944,NA,0,0.103834219915896,NA,1.27330055875603,NA,NA,NA,NA,NA,NA,1.27289787745975,2.75745568508464e-05,27.5745568508464,0.000176181731076333,176.181731076333
"25","Caguas",136372,4,0,0,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,0.922,NA,NA,NA,NA,0.82,1.305,NA,NA,12.12,NA,0.050127,0.456844,0.104486,0.142572,0.036,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,1.10517119280744e-05,1.81757235514525e-05,NA,NA,0.000138409949608785,0,3.6757545537207e-07,3.34998386765612e-06,7.52710233772329e-06,1.04546387821547e-06,2.63983808993048e-07,0,0,6.01296453817499e-06,9.569413075998e-06,0,0,8.88745490276596e-05,NA,NA,NA,1.17314069722784,NA,NA,NA,NA,0.544075395496005,0.526494202495354,NA,NA,0.642110984642819,2.8136486962133e-05,28.136486962133,8.88745490276596e-05,88.8745490276596
"27","Camuy",33481,4,0,0,0,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,0.242,NA,NA,NA,NA,0.137,NA,NA,0.072,2.496,NA,NA,NA,0,NA,0.806158,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,1.10517119280744e-05,NA,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,7.22798004838565e-06,0,2.4078074131597e-05,0,0,4.09187300259849e-06,0,0,2.15047340282548e-06,7.45497446312834e-05,NA,NA,NA,1.12652082741269,NA,NA,NA,NA,0.370247888221191,NA,NA,0.618889416504073,0.538615503018375,3.75484005854066e-05,37.5484005854066,7.45497446312834e-05,74.5497446312834
"29","Canovanas",47174,5,0,0,1,1,0,0,0,0,0,1,0,1,1,NA,NA,0,0.083,NA,NA,NA,NA,NA,2.457,NA,0.07,6.964,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,1.75944376139399e-06,0,0,0,0,0,5.20837749607835e-05,0,1.48386823250095e-06,0.000147623691016238,NA,NA,0,0.274219080379773,NA,NA,NA,NA,NA,2.86556817467777,NA,0.427045665096269,1.06656849044087,5.53270869546784e-05,55.3270869546784,0.000147623691016238,147.623691016238
"31","Carolina",165040,4,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,0.165,NA,NA,NA,NA,NA,0.762,NA,0,17.135,NA,NA,NA,0,0.094875,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,9.99757634512845e-07,5.74860639844886e-07,0,0,0,0,4.61706253029569e-06,0,0,0.000103823315559864,NA,NA,NA,0.155817778978943,NA,NA,NA,NA,NA,0.254023589059634,NA,0,0.750114539116015,6.19168080465342e-06,6.19168080465342,0.000103823315559864,103.823315559864
"33","Catano",26137,4,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,0.775,NA,NA,NA,NA,NA,0.033,NA,0.208,9.527,NA,NA,0.015729,0,NA,0.025442,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,6.01790565099285e-07,2.96514519646478e-05,0,9.73409343076864e-07,0,0,0,1.26257795462371e-06,0,7.95806710793129e-06,0.000364502429506064,NA,NA,NA,4.62134344278707,NA,NA,NA,NA,NA,0.069465072521023,NA,2.29026943670019,2.6334987516167,4.0447296935379e-05,40.447296935379,0.000364502429506064,364.502429506064
"35","Cayey",46071,5,0,0,1,1,1,0,0,0,0,1,0,0,1,NA,NA,0.203,0.335,0.085,NA,NA,2.247,NA,5.704,NA,NA,10.713,NA,NA,0.01875,0,0.0794,NA,NA,NA,NA,3.067534,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,1.29621043732017e-05,NA,NA,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,4.81322306874172e-06,7.27138547025244e-06,3.56840528749105e-06,0,0,4.87725467213648e-05,0,0.000190391656356493,0,0,0.000232532395650192,NA,NA,0.867465476835054,1.13328580344033,0.275295213242419,NA,NA,NA,NA,10.4750523860866,NA,NA,1.68002658990517,0.000254817216904343,254.817216904343,0.000232532395650192,232.532395650192
"37","Ceiba",12538,4,0,0,1,1,0,0,0,0,0,1,0,0,1,NA,NA,0.049,0,NA,NA,NA,NA,NA,0.331,NA,NA,3.023,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,3.90811931727548e-06,0,0,0,0,0,0,2.63997447758813e-05,0,0,0.000241107034614771,NA,NA,0.704342711457776,0,NA,NA,NA,NA,NA,1.4524728383521,NA,NA,1.74197762007905,3.03078640931568e-05,30.3078640931568,0.000241107034614771,241.107034614771
"39","Ciales",17644,6,0,1,0,1,0,0,0,0,1,1,0,1,1,NA,0.147,NA,0.105,NA,NA,NA,0.272,0.318,0.299,NA,0.061,1.192,NA,0,NA,0,NA,NA,NA,NA,0,0.0255,NA,0,0,NA,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,NA,NA,1.10517119280744e-05,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,8.33144411698028e-06,0,5.95103151212877e-06,0,0,0,1.54160054409431e-05,1.80231240081614e-05,1.83915211970075e-05,0,3.45726592609386e-06,6.75583767853094e-05,NA,1.44128233795573,NA,0.927501307159755,NA,NA,NA,NA,1.63079929385218,1.01187285034041,NA,0.994974078213829,0.488103470713363,6.95703922013149e-05,69.5703922013149,6.75583767853094e-05,67.5583767853094
"41","Cidra",41782,3,0,0,0,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,0.227,NA,NA,NA,NA,NA,1.325,NA,NA,12.741,NA,NA,0.009854,0.003588,NA,NA,0.090623,NA,NA,0,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,2.35843186060983e-07,5.51883586233306e-06,0,0,2.16894835096453e-06,0,0,3.17122205734527e-05,0,0,0.000304939926284046,NA,NA,NA,0.860141215162715,NA,NA,NA,NA,NA,1.74475698222855,NA,NA,2.20316478075426,3.96358479728113e-05,39.6358479728113,0.000304939926284046,304.939926284046
"43","Coamo",40090,5,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,0.255,0.018,NA,NA,0.185,NA,NA,0.372,NA,NA,4.151,NA,NA,0,0,0.030614,0.01875,0,NA,NA,0,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,6.36068845098528e-06,4.48989773010726e-07,7.63631828386131e-07,4.67697680219506e-07,4.61461711149913e-06,0,0,9.279121975555e-06,0,0,0.000103542030431529,NA,NA,1.14635818064747,0.0699775493576312,NA,NA,0.477356632250802,NA,NA,0.51052283829512,NA,NA,0.748082278219091,2.19347468196558e-05,21.9347468196558,0.000115449155207054,115.449155207054
"45","Comerío",20153,4,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,0.186,NA,NA,NA,NA,NA,0.224,NA,0.064,2.912,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,9.22939512727634e-06,0,0,0,0,0,1.11149704758597e-05,0,3.17570585024562e-06,0.000144494616186176,NA,NA,NA,1.43845248128766,NA,NA,NA,NA,NA,0.611528363335578,NA,0.913943291772292,1.04396119350227,2.35200714533816e-05,23.5200714533816,0.000144494616186176,144.494616186176
"47","Corozal",35484,5,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,0.125,NA,0.098,NA,NA,0.225,0.058,NA,0.159,NA,NA,3.462,NA,0,NA,0,NA,0.725032,0,NA,NA,0,NA,NA,0,NA,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,3.5227144628565e-06,0,2.7618081388795e-06,0,2.04326456994702e-05,6.3408860331417e-06,1.63453951076542e-06,0,4.48089279675347e-06,0,0,9.75650997632736e-05,NA,0.609405292250403,NA,0.430443134726213,NA,NA,0.655929610004707,NA,NA,0.246531742412828,NA,NA,0.704899467408529,3.91734866418668e-05,39.1734866418668,0.000116050321553509,116.050321553509
"49","Culebra",1508,5,0,0,1,1,0,0,0,0,0,1,0,1,1,NA,NA,0.128,0.051,NA,NA,NA,NA,NA,0.039,NA,0.043,0.19,NA,NA,0,0.051223,NA,NA,NA,NA,NA,1.664306,NA,0,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,8.48806366047745e-05,6.77871352785146e-05,0,0,0,0,0,0.00112951326259947,0,2.85145888594164e-05,0.000125994694960212,NA,NA,15.2976541612214,10.5650014541676,NA,NA,NA,NA,NA,62.1440604222441,NA,8.20627552885384,0.910300851321281,0.00131069562334218,1310.69562334218,0.000125994694960212,125.994694960212
